City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,laguna,38.421,-121.4238,27.38,38,0,3.6,US,1699133256
184,belmopan,17.25,-88.7667,28.21,99,100,0.43,BZ,1699133256
185,tarko-sale,64.9225,77.785,-7.77,88,100,8.76,RU,1699133256
186,tver,56.8619,35.8931,5.72,63,100,5.36,RU,1699133209
187,arteche,12.2645,125.4048,25.92,89,44,2.14,PH,1699133257
188,gebeit,21.0667,36.3167,26.13,58,22,1.75,SD,1699133257
189,alofi,-19.0595,-169.9187,26.94,61,35,6.69,NU,1699133257
190,balykshi,47.0667,51.8667,10.0,81,0,3.0,KZ,1699133257
191,mushie,-3.0167,16.9,22.4,96,91,0.95,CD,1699133257
192,ione,38.3527,-120.9327,27.08,31,45,2.06,US,1699133257
193,mae hong son,19.3003,97.9685,21.62,95,93,0.51,TH,1699133258
194,nova vicosa,-17.8919,-39.3719,26.68,80,92,7.93,BR,1699133258
195,kilindoni,-7.9139,39.6668,26.43,82,65,5.48,TZ,1699133258
196,lata,40.1629,-8.3327,16.56,79,34,6.14,PT,1699133258
197,willowmore,-33.2926,23.4895,14.78,65,99,1.64,ZA,1699133258
198,jasrasar,28.298,74.8093,23.21,29,1,3.59,IN,1699133258
199,al bawiti,28.3492,28.8659,22.87,29,0,2.67,EG,1699133259
200,hami,42.8,93.45,-0.07,21,0,4.06,CN,1699133259
201,monrovia,6.3005,-10.7969,25.87,85,26,2.71,LR,1699133259
202,majdanpek,44.4277,21.946,7.48,93,1,1.24,RS,1699133119
203,hithadhoo,-0.6,73.0833,27.25,78,99,6.02,MV,1699133259
204,aydarken,39.9443,71.3429,5.74,19,16,2.37,KG,1699133260
205,ilulissat,69.2167,-51.1,-4.99,58,40,2.57,GL,1699133260
206,niafunke,15.9322,-3.9906,30.73,10,3,3.33,ML,1699133260
207,nemuro,43.3236,145.575,8.13,74,96,1.45,JP,1699133260
208,sitka,57.0531,-135.33,10.94,76,100,1.54,US,1699133261
209,timimoun,29.2639,0.231,22.21,15,0,2.57,DZ,1699133261
210,antsiranana,-12.2787,49.2917,24.88,83,100,5.07,MG,1699133261
211,vorgashor,67.5833,63.95,-7.53,92,15,6.97,RU,1699133261
212,saint-louis,16.3333,-15.0,29.8,11,79,3.64,SN,1699133261
213,hooper,41.1638,-112.1224,19.83,39,0,3.6,US,1699133246
214,norton,-17.8833,30.7,17.93,40,76,3.64,ZW,1699133262
215,cockburn town,21.4612,-71.1419,28.43,77,22,8.28,TC,1699133262
216,san juan bautista,-14.0108,-75.7358,26.87,34,44,6.15,PE,1699133262
217,ust-nera,64.5667,143.2,-14.72,98,100,3.34,RU,1699133262
218,st. john's,47.5649,-52.7093,11.65,84,75,11.83,CA,1699133058
219,itaituba,-4.2761,-55.9836,35.83,35,72,0.44,BR,1699133262
220,brak,27.5496,14.2714,24.16,19,76,1.16,LY,1699133263
221,borogontsy,62.6683,131.1683,-20.15,96,100,2.68,RU,1699133263
222,cam pha mines,21.0167,107.3,22.67,93,82,1.53,VN,1699133263
223,fortuna,40.5982,-124.1573,21.63,73,20,4.63,US,1699133263
224,prado,-17.3411,-39.2208,26.05,83,71,8.24,BR,1699133263
225,kailua-kona,19.6406,-155.9956,30.15,66,40,4.63,US,1699133264
226,bintulu,3.1667,113.0333,24.23,100,20,1.54,MY,1699133264
227,kalabo,-14.97,22.6814,26.25,48,59,1.52,ZM,1699133264
228,dumfries,38.5676,-77.328,20.09,36,82,1.18,US,1699133048
229,rio grande city,26.3798,-98.8203,30.06,35,93,3.44,US,1699133264
230,greenville,35.6127,-77.3663,22.02,55,0,2.57,US,1699133203
231,luderitz,-26.6481,15.1594,15.26,87,0,4.96,NA,1699133264
232,mazagao,-0.115,-51.2894,32.03,52,17,3.35,BR,1699133264
233,toliara,-23.35,43.6667,26.06,57,94,5.54,MG,1699133265
234,nganjuk,-7.6051,111.9035,24.65,89,43,1.88,ID,1699133265
235,cocachacra,-17.0883,-71.7575,21.09,67,15,3.45,PE,1699133265
236,lompoc,34.6391,-120.4579,30.43,50,0,6.69,US,1699133037
237,wailua homesteads,22.0669,-159.378,27.85,69,75,6.17,US,1699133265
238,port-cartier,50.0334,-66.8654,2.82,60,50,4.88,CA,1699133265
239,loudeac,48.1783,-2.7543,9.77,89,99,6.63,FR,1699133266
240,naze,28.3667,129.4833,23.51,68,27,5.62,JP,1699133266
241,luquillo,18.3725,-65.7166,29.86,81,20,4.12,PR,1699133218
242,puerto quijarro,-17.7833,-57.7667,35.15,20,5,1.88,BO,1699133266
243,nelidovo,56.2211,32.7774,7.22,98,100,3.56,RU,1699133266
244,chester,40.1254,-75.8749,15.47,57,0,0.45,US,1699133122
245,uturoa,-16.7333,-151.4333,25.45,84,76,7.43,PF,1699133266
246,kargasok,59.0556,80.8572,-5.58,89,100,7.6,RU,1699133267
247,valparaiso,-33.0393,-71.6273,18.33,68,20,7.2,CL,1699133166
248,wamba,8.9333,8.6,24.59,80,44,0.78,NG,1699133267
249,tucuma,-0.1833,-50.05,29.4,66,99,4.59,BR,1699133267
250,vikulovo,56.8167,70.6107,-2.15,84,100,4.3,RU,1699133267
251,karratha,-20.7377,116.8463,29.61,36,29,3.99,AU,1699133267
252,bismarck,46.8083,-100.7837,2.15,95,100,0.0,US,1699133244
253,merced,37.1666,-120.7516,27.91,32,52,1.56,US,1699133268
254,pyhajarvi,67.0701,27.2176,-1.99,89,100,6.64,FI,1699133268
255,el dorado,38.7666,-120.5177,23.12,49,21,4.3,US,1699133268
256,carolina beach,34.0352,-77.8936,23.37,71,37,0.45,US,1699133268
257,victoria point,-27.5833,153.3,22.88,85,52,1.34,AU,1699133268
258,howrah,22.5892,88.3103,25.0,83,40,2.06,IN,1699133268
259,wonsan,39.1528,127.4436,12.58,93,100,3.1,KP,1699133269
260,rocha,-34.4833,-54.3333,14.32,66,0,4.68,UY,1699133269
261,praia da vitoria,38.7333,-27.0667,15.14,67,40,8.64,PT,1699133269
262,longyearbyen,78.2186,15.6401,-9.09,67,75,3.6,SJ,1699133269
263,sao joao da barra,-21.6403,-41.0511,25.05,80,95,6.7,BR,1699133269
264,al wafrah,28.6392,47.9306,23.32,42,0,2.73,KW,1699133269
265,bonthe,7.5264,-12.505,26.4,84,96,1.98,SL,1699133269
266,nyurba,63.2842,118.3319,-28.02,100,58,1.8,RU,1699133270
267,yeed,4.55,43.0333,26.46,74,94,2.45,SO,1699133270
268,atafu village,-8.5421,-172.5159,28.63,76,61,4.48,TK,1699133179
269,childress,34.4264,-100.204,24.14,41,0,2.57,US,1699133270
270,namibe,-15.1961,12.1522,20.15,85,57,0.73,AO,1699133270
271,fisterra,42.9049,-9.2629,13.9,78,52,15.58,ES,1699133270
272,tura,25.5198,90.2201,19.4,73,27,1.55,IN,1699133112
273,nesterov,54.6306,22.5714,5.81,91,28,3.3,RU,1699133271
274,lerwick,60.1545,-1.1494,10.0,82,83,4.56,GB,1699133271
275,leh,34.1667,77.5833,0.61,32,1,1.28,IN,1699133222
276,saldanha,-33.0117,17.9442,15.03,90,98,6.29,ZA,1699133271
277,lethem,3.3803,-59.7968,32.64,45,100,1.66,GY,1699133271
278,castillos,-34.1667,-53.8333,14.2,67,0,5.38,UY,1699133271
279,isafjordur,66.0755,-23.124,0.88,95,100,16.9,IS,1699133271
280,glace bay,46.1969,-59.957,11.55,80,75,2.06,CA,1699133272
281,arraial do cabo,-22.9661,-42.0278,22.92,78,75,4.12,BR,1699133072
282,maluso,6.543,121.8753,25.05,84,93,2.16,PH,1699133272
283,temiskaming shores,47.4938,-79.7153,2.89,62,17,2.41,CA,1699133272
284,rongelap,11.1635,166.8941,28.29,77,28,9.46,MH,1699133272
285,keuruu,62.2667,24.7,5.1,95,100,7.21,FI,1699133272
286,broome,42.2506,-75.833,13.83,53,100,2.06,US,1699133272
287,bardai,11.65,7.2333,24.7,32,99,2.26,NG,1699133273
288,dapa,9.7594,126.0531,27.64,79,100,3.3,PH,1699133273
289,broken hill,-31.95,141.4333,14.43,28,0,5.15,AU,1699132988
290,saipan,15.1355,145.701,27.39,89,40,5.14,MP,1699133273
291,barreirinhas,-2.7469,-42.8264,27.16,78,22,4.85,BR,1699133273
292,anadyr,64.75,177.4833,-5.72,79,100,4.0,RU,1699133273
293,guiuan,11.0333,125.7247,28.65,76,84,4.34,PH,1699132998
294,ivdel',60.6911,60.4206,-3.32,73,38,6.26,RU,1699133274
295,remire-montjoly,4.9167,-52.2667,30.02,74,0,5.14,GF,1699133274
296,touros,-5.1989,-35.4608,26.03,81,46,5.68,BR,1699133274
297,mariental,-24.6333,17.9667,23.38,19,0,6.41,NA,1699133274
298,harar,9.3094,42.1258,17.17,77,100,1.12,ET,1699133274
299,santyoku,37.4406,129.1708,16.12,91,100,0.75,KR,1699133274
